id;nombre;descripcion;imagen;imagen_content_type;icono;icono_content_type;protagonistas;direccion;autores;fecha;duracion;tipo_id;cuenta_id
1;Ethiopia quantify;olive Money Market Account Avon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;middleware;Shoes;knowledge user;2020-10-28;Down-sized auxiliary optical;1;1
2;Avon;array South Carolina;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;overriding Algerian Dinar Berkshire;primary iterate;COM Crest Future-proofed;2020-10-28;Berkshire Gorgeous Steel Salad Intelligent Wooden Computer;2;2
3;customized Future-proofed;parallelism Incredible Plastic Sausages Plastic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Borders;ADP;Customer;2020-10-29;Bacon Fantastic Rubber Soap Algeria;3;3
4;multimedia Leone functionalities;Technician Legacy Optimization;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IB;Facilitator;Investor;2020-10-29;Manager bandwidth;4;4
5;Concrete e-business leading-edge;Fields Hat Maine;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Ohio;Generic Plastic Car navigate;Guinea;2020-10-28;system;5;5
6;Checking Account Liaison;Iraq Metal;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;multi-byte;Points;Computer;2020-10-29;Kansas payment;6;6
7;Danish Krone Croatian Kuna;Coordinator Communications;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Checking Account;compressing Central;Indiana;2020-10-29;gold Eritrea Forward;7;7
8;Chief;networks Soft Refined Concrete Bacon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Legacy USB;Chicken Towels Mandatory;Georgia;2020-10-29;Underpass;8;8
9;Pants Associate Customer;Facilitator Montana HDD;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;black flexibility magenta;Handmade Credit Card Account;plum customized Zambian Kwacha;2020-10-28;database Arizona;9;9
10;Reunion;Bedfordshire Syrian Pound magenta;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;paradigms Identity Chair;feed Berkshire;Savings Account Rue;2020-10-29;background;10;10
