id;codigo;nombre;fecha_baja
1;User-centric International auxiliary;Botswana;2020-10-29
2;one-to-one action-items Buckinghamshire;innovative;2020-10-28
3;Ethiopia;PCI white Small Steel Tuna;2020-10-28
4;XML;Lempira Infrastructure;2020-10-28
5;Dynamic International Terrace;Plastic Dynamic;2020-10-28
6;microchip;cross-platform Gorgeous Checking Account;2020-10-29
7;Chicken SSL Unbranded Rubber Chair;Tuna strategic Technician;2020-10-29
8;Secured Chair New Mexico;generating olive Towels;2020-10-28
9;e-services Delaware;web services Global Cambridgeshire;2020-10-28
10;generating Director;salmon;2020-10-28
