id;indice;subindice;tipo_contenido;valor;resumen;obra_id
1;Costa Rican Colon;Soft;silver;synergistic;Gloves;1
2;Turnpike Zimbabwe Group;sky blue Mall;Persevering;XML;Somali Shilling invoice;2
3;sticky Tasty hacking;exuding;SSL Garden Cedi;Jewelery Libyan Dinar;Tactics Incredible Wooden Hat;3
4;deposit action-items Gorgeous Concrete Keyboard;Business-focused;dynamic Data Indonesia;implement;moratorium Buckinghamshire Dynamic;4
5;mission-critical;Intelligent Wooden Bacon TCP;Executive Branding Rubber;COM Handmade Cotton Fish;Cloned Solutions transmit;5
6;interactive Balboa US Dollar calculate;Granite channels;Ridge bypassing Small Plastic Keyboard;backing up white;Brook Iraqi Dinar;6
7;Wooden deploy visualize;Borders optical algorithm;Streamlined Rustic;Internal one-to-one;back-end Lebanese Pound Afghanistan;7
8;Refined;Sleek Plastic Pizza hard drive;Soap;Rhode Island repurpose;orchestration;8
9;Tala;Rustic Mouse;Industrial invoice out-of-the-box;Sleek Steel Mouse;compressing Buckinghamshire leading edge;9
10;transmitting Bond Markets Units European Composite Unit (EURCO) Gorgeous;Plastic Zambian Kwacha Directives;Checking Account orchid;Metal;Total;10
